palavras,forca_global,rank_global,forca_peso,rank_peso,forca_global_peso,rank_global_peso
JAZEI,0.3511776,741,0.4514019,1024,0.0514358,1136
MUDAS,0.3511402,742,0.6194393,278,0.0569213,764
DUMAS,0.3511402,742,0.6042991,332,0.0561136,830
PLENA,0.3510654,743,0.388972,1295,0.0415549,1958
PENAL,0.3510654,743,0.5504673,571,0.0548874,919
TANGE,0.3510654,743,0.4641121,965,0.0456559,1625
PLANE,0.3510654,743,0.2964486,1568,0.0241112,2948
VENTA,0.351028,744,0.5751402,452,0.0553274,882
EDITO,0.3508037,745,0.4005607,1251,0.0336714,2489
DEITO,0.3508037,745,0.5592523,530,0.0473309,1477
PAGUE,0.3508037,745,0.4325234,1108,0.0437995,1787
DOTEI,0.3508037,745,0.504486,784,0.0426522,1880
TEDIO,0.3508037,745,0.5383178,630,0.0462645,1567
VENCA,0.3505421,746,0.5403738,620,0.0538946,985
ADUBE,0.3504673,747,0.2833645,1587,0.0301557,2716
MALHE,0.3502804,748,0.4538318,1012,0.0459464,1597
GOREM,0.3500561,749,0.5669159,492,0.0467794,1526
ORGEM,0.3500561,749,0.3897196,1291,0.0295214,2747
ROGEM,0.3500561,749,0.5136449,738,0.0425886,1887
MOVER,0.3500187,750,0.4657944,958,0.0403233,2041
CUIDA,0.3499813,751,0.5525234,561,0.0500075,1234
ACUDI,0.3499813,751,0.2953271,1570,0.0274144,2846
FIEMO,0.3499065,752,0.4637383,967,0.0373965,2242
FRISE,0.3499065,752,0.3723364,1354,0.0274766,2843
FISGA,0.3499065,752,0.4813084,893,0.0483677,1384
FIGAS,0.3499065,752,0.6349533,220,0.0593342,555
FERIS,0.3499065,752,0.6272897,250,0.047662,1441
RIFES,0.3499065,752,0.5471028,589,0.044219,1759
MOFEI,0.3499065,752,0.4848598,875,0.042507,1890
RUGAM,0.3497196,753,0.517757,720,0.0488965,1325
BANCO,0.3496822,754,0.5545794,551,0.054318,955
EXIJA,0.3496822,754,0.3506542,1420,0.0431672,1841
PATIM,0.3496449,755,0.4934579,835,0.0443736,1745
BOIEM,0.3496075,756,0.5476636,586,0.0446869,1713
BIGAS,0.3496075,756,0.6185047,281,0.0589949,589
FUMAI,0.3495701,757,0.52,712,0.0488836,1327
AZULO,0.3493832,758,0.3691589,1364,0.0395722,2094
POSEM,0.3493084,759,0.5476636,586,0.0431775,1838
CAPIM,0.3491589,760,0.4852336,874,0.0447634,1703
PICAM,0.3491589,760,0.5506542,570,0.0512546,1145
JAZER,0.3491215,761,0.4220561,1156,0.0489903,1315
ZELAM,0.3491215,761,0.5476636,586,0.0567988,775
ANGLO,0.348972,762,0.3902804,1288,0.0392634,2112
PUMAS,0.348972,762,0.6385047,212,0.0568967,769
LONGA,0.348972,762,0.5343925,646,0.0546814,932
REGOU,0.3487103,763,0.4028037,1241,0.0335773,2497
ROGUE,0.3487103,763,0.4026168,1242,0.0349045,2409
GEROU,0.3487103,763,0.4560748,1002,0.0377681,2214
VAGOU,0.3486729,764,0.4134579,1194,0.0425918,1885
PEITO,0.3486355,765,0.5934579,380,0.0481141,1407
LUNAR,0.3486355,765,0.5136449,738,0.0475163,1455
TOPEI,0.3486355,765,0.4906542,850,0.0422532,1907
OPTEI,0.3486355,765,0.3328972,1478,0.0274599,2844
BENTA,0.3485607,766,0.5753271,451,0.0552061,890
VAGEM,0.3484112,767,0.5171963,723,0.0506194,1182
CREDO,0.3482617,768,0.4775701,908,0.0369998,2268
CEDRO,0.3482617,768,0.5528972,559,0.0457139,1622
SENTO,0.3482243,769,0.5801869,431,0.0466817,1538
VODCA,0.3482243,769,0.5007477,802,0.0532451,1034
NOTES,0.3482243,769,0.593271,381,0.049553,1274
NETOS,0.3482243,769,0.5265421,681,0.0427135,1876
TENSO,0.3482243,769,0.5265421,681,0.0430917,1845
COPIE,0.3481495,770,0.4837383,881,0.0391726,2118
EPICO,0.3481495,770,0.3656075,1375,0.0322099,2586
LIDAM,0.3481121,771,0.508972,761,0.0500633,1231
CINTA,0.3480748,772,0.582243,421,0.0514582,1133
PESOU,0.3479626,773,0.4368224,1091,0.0341662,2458
POUSE,0.3479626,773,0.4192523,1168,0.0336512,2490
SUPOE,0.3479626,773,0.3994393,1256,0.0307329,2679
CHATO,0.3479252,774,0.4368224,1091,0.0366008,2296
TACHO,0.3479252,774,0.5175701,721,0.0539607,981
TOCHA,0.3479252,774,0.5106542,753,0.0543996,951
ATUNS,0.3478879,775,0.3829907,1316,0.0343213,2444
UNTAS,0.3478879,775,0.5115888,748,0.0518096,1118
FORME,0.3478505,776,0.4942056,833,0.0400726,2058
